province,name,"number,",con,ndp,lib,grn,bq,oth,projected_winner,strategic_vote,confidence,turnout_2011
BC,Pitt Meadows--Maple Ridge,59022,0.36125475811414076,0.33862843316556573,0.23990468636103482,0.06021212235925867,0,0.0,CON,NDP,0.53605715869364157,0.597762494554055
BC,Langley--Aldergrove,59016,0.4882967695828262,0.18727278837177053,0.25277122181636014,0.07165922022904309,0,0,CON,LIB,0.82692983858144875,0.6220095027100837
BC,South Surrey--White Rock,59030,0.35516302876836287,0.16547209807787755,0.411851358168403,0.06460540627776255,0,0.0029081087075940046,LIB,LIB,0.58969221734452626,0.6546777185253884
NS,West Nova,12011,0.24213757382665002,0.08581220480055823,0.619736502059675,0.05231371931311676,0,0,LIB,LIB,0.9345287590527982,0.6322529365009273
BC,Courtenay--Alberni,59009,0.3400806289871018,0.3115048944236925,0.20515301890496407,0.13152460397885551,0,0.01173685370538613,CON,NDP,0.54550117331125891,0.6688506656735872
BC,Mission--Matsqui--Fraser Canyon,59017,0.44680825653492595,0.2601529722415553,0.22539996875906562,0.06763880246445303,0,0,CON,NDP,0.77235385714800286,0.5751607167282178
QC,Hochelaga,24028,0.08573896118553492,0.332713958310098,0.2682874165844056,0.025730651910501365,0.28752901200946024,0,NDP,NDP,0.57171408552372949,0.5806328678206137
QC,Mégantic--L'Érable,24047,0.5463919956714258,0.167073346113142,0.12458666321251612,0.02057344091944215,0.14137455408347394,0,CON,NDP,0.93540131560826434,0.6336583936717867
QC,Manicouagan,24046,0.16136141286846958,0.34954289917322506,0.1365847726019987,0.04091378344728577,0.31159713190902105,0,NDP,NDP,0.56032098183082935,0.5145389788161497
QC,Louis-Saint-Laurent,24045,0.4400799131867799,0.2670160538007926,0.14212914744339872,0.02162555490049137,0.1291493306685374,0,CON,NDP,0.75561153514343005,0.6528517724117253
QC,Louis-Hébert,24044,0.24261575692336348,0.24624141153339718,0.28287731574437325,0.021931756284524942,0.2063337595143412,0,LIB,LIB,0.55825386985917935,0.7307683006456918
QC,Longueuil--Saint-Hubert,24043,0.10762178481222649,0.3512392455123808,0.25246123889954986,0.0325625858045822,0.2561151449712607,0,NDP,NDP,0.64821151662975363,0.6366637244114481
QC,Lévis--Lotbinière,24042,0.4689115771850752,0.25864828228722647,0.1136866351882282,0.024604918878157075,0.13414858646131322,0,CON,NDP,0.7998409285030712,0.6808942598187311
QC,Longueuil--Charles-LeMoyne,24041,0.11244592963046005,0.27087105812377876,0.36050106210626315,0.032413020121653924,0.223768930017844,0,LIB,LIB,0.64002290423501562,0.5710776048942627
QC,Laval--Les Îles,24040,0.1684937831526816,0.2883907505940981,0.4140805122869222,0.023493633055600833,0.10554132091069725,0,LIB,LIB,0.69243315504382053,0.5802409763832747
BC,Abbotsford,59001,0.4875298609588817,0.18309427632162623,0.2710224218549435,0.058353440864548405,0,0,CON,LIB,0.80676307805468306,0.5880497221960637
BC,Esquimalt--Saanich--Sooke,59026,0.216511936107036,0.3388294267391421,0.23347715308901676,0.1894911653161016,0,0.021690318748703544,NDP,NDP,0.66327181036955163,0.6636755540977461
QC,Montarville,24049,0.11513980527565687,0.2962276694981817,0.2839223999220319,0.0283626238478259,0.2558090497044298,0.02053845175187393,NDP,NDP,0.51962844321700186,0.7275986163030742
QC,Mirabel,24048,0.12334140881032961,0.32677141410106436,0.24156573767915288,0.0355100812715351,0.2691712576587592,0.00364010047915891,NDP,NDP,0.59110976253010761,0.6238946773706132
AB,Edmonton Griesbach,48015,0.3573117711220316,0.3706335167375595,0.24322552947271925,0.028829182667689586,0,0.0,NDP,NDP,0.52124837402174962,0.5026753627046453
BC,New Westminster--Burnaby,59019,0.27265834029168934,0.42445270493328996,0.2500787986649816,0.05281015611003914,0,0,NDP,NDP,0.72813342503566636,0.5696892958020844
MB,Winnipeg North,46012,0.15041661657021635,0.1856915316262071,0.6477370335355509,0.015946817080060495,0,0.00020800118796515646,LIB,LIB,0.96771199132063179,0.49224748966331955
BC,Richmond Centre,59025,0.3713311890599375,0.14061615065618638,0.4339826330030653,0.0540700272808109,0,0,LIB,LIB,0.59894054210998271,0.521163373906661
AB,Lethbridge,48026,0.5370132027328944,0.2418873133595118,0.1762308489086653,0.04230712542215824,0,0.0025615095767701087,CON,NDP,0.88110000180922221,0.5383036041219856
MB,Winnipeg South,46013,0.28191611649375675,0.1780541928792597,0.4975279175819867,0.04146469826714729,0,0.00103707477784948,LIB,LIB,0.80577926297907554,0.6757120698177851
NB,Madawaska--Restigouche,13005,0.21347309340808177,0.12547664619853235,0.6007189227429467,0.02601746614878398,0,0.03431387150165513,LIB,LIB,0.93930713476228089,0.6871341673361644
NB,Fundy Royal,13004,0.4031951977116965,0.24213827420472678,0.2577355436761617,0.0966068679075902,0,0.00032411649982485154,CON,LIB,0.71966230480383042,0.6422745660968289
NB,Moncton--Riverview--Dieppe,13007,0.19024439937316104,0.19514147725313344,0.5512255838231603,0.0633885395505451,0,0,LIB,LIB,0.922825446141466,0.6421847208364062
NB,Miramichi--Grand Lake,13006,0.3117665164257179,0.17891346337720432,0.4618965906453291,0.046787778528156944,0,0.0006356510235916683,LIB,LIB,0.72592023090357349,0.7002475950805699
NB,Acadie--Bathurst,13001,0.11121954274654383,0.577401310944485,0.31053934679335554,0.0008397995156157951,0,0,NDP,NDP,0.85711517606337095,0.6922451753997104
ON,Chatham-Kent--Leamington,35017,0.44221129568336937,0.18717831514431488,0.3382628801952329,0.03234750897708302,0,0.0,CON,LIB,0.66121950144584496,0.5871962723324512
NB,Fredericton,13003,0.3007841376728388,0.14232622962857355,0.4308816204373938,0.12558513116210984,0,0.0004228810990840718,LIB,LIB,0.69860408672819085,0.6390637877039723
NB,Beauséjour,13002,0.1657496608254849,0.15092735444424848,0.6221151896818049,0.0612077950484617,0,0,LIB,LIB,0.96603433842644004,0.7077109783420463
ON,Davenport,35018,0.10464951948669547,0.3794803396570733,0.4840280416050452,0.03184209925118616,0,0,LIB,LIB,0.6620961919981041,0.5877847663185771
ON,Don Valley East,35019,0.26053449648662175,0.12933684940411688,0.5851380965699939,0.02499055753926753,0,0,LIB,LIB,0.90292751330601861,0.5827879310059152
NB,Saint John--Rothesay,13009,0.3618257432428105,0.21642587293092724,0.36801548334800177,0.052946796156188254,0,0.0007861043220722863,LIB,LIB,0.50987638707269956,0.5759123736928916
NB,New Brunswick Southwest,13008,0.38318383111774834,0.2012088460554728,0.3135311587755229,0.10174910712361958,0,0.0003270569276363481,CON,LIB,0.60972819575370396,0.6421275850664384
AB,Edmonton West,48020,0.45648710499015155,0.1316702251472608,0.3843441159900033,0.027498553872584347,0,0.0,CON,LIB,0.61354552062213885,0.5408360941097198
BC,Prince George--Peace River--Northern Rockies,59024,0.504068157336461,0.2533213280445762,0.15446003410701903,0.08815048051194382,0,0,CON,NDP,0.84206650968844698,0.5334498692358768
AB,Calgary Shepard,48011,0.6109156702845554,0.1099796488327852,0.23473111351358436,0.04158855450083181,0,0.0027850128682433343,CON,LIB,0.9338043045543345,0.5362128495024033
QC,Montcalm,24050,0.10316242892102591,0.3971326722077358,0.13956829406336374,0.05560022902156219,0.3045363757863123,0,NDP,NDP,0.64445224485158958,0.5934835364479041
QC,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,0.42526354783878734,0.24380383577981263,0.1288873638084265,0.021643809911064994,0.1804014426619086,0,CON,NDP,0.76603121580577527,0.6020716990211349
QC,Mount Royal,24052,0.276410419966362,0.09333939200783543,0.538347056942414,0.021795368005962705,0.07010776307742582,0.0,LIB,LIB,0.8526223023280608,0.5689821162878899
QC,Notre-Dame-de-Grâce--Westmount,24053,0.10206172940989862,0.25122349627474555,0.5003359713376088,0.08272815185558323,0.06275648313421968,0.0008941679879442308,LIB,LIB,0.84048420105976418,0.5820576346329378
QC,Outremont,24054,0.08687485698186877,0.33749026946631316,0.44390652144352816,0.03008845668548358,0.10149707523184051,0.0001428201909658419,LIB,LIB,0.66482401833810267,0.5968390149355832
QC,Papineau,24055,0.09605410375418451,0.2235878409688624,0.49335012883249585,0.014355988125811004,0.17202859680766075,0.0006233415109855645,LIB,LIB,0.85971709144639341,0.5975520833333333
QC,Pierrefonds--Dollard,24056,0.23908132585832242,0.17327478636023302,0.5141904772987498,0.03940821785473117,0.034045192627963676,0,LIB,LIB,0.86442903172955576,0.5873396357943914
QC,Pontiac,24057,0.19197381306347483,0.30153926078533766,0.399210964941148,0.028282660900063053,0.07899330030997648,0.0,LIB,LIB,0.65198562762924084,0.622916151372743
QC,Portneuf--Jacques-Cartier,24058,0,0.30368674468799695,0.155734593534799,0.03677159807209095,0.195369435048695,0.30843762865641805,OTH,OTH,0.5075808576496762,0.6470102228305772
QC,Québec,24059,0.21346030345250486,0.2920749672903005,0.20472479456924175,0.03249456443602619,0.2572453702519267,0,NDP,NDP,0.55540072003208807,0.6514749299129183
MB,Brandon--Souris,46001,0.5430139882495698,0.20990326151712432,0.16811503131359903,0.07896771891970686,0,0,CON,NDP,0.90864265466692729,0.5767884981811883
AB,Calgary Midnapore,48008,0.6532266491875177,0.10524414683788987,0.1950443042333741,0.04199831127881875,0,0.00448658846239966,CON,LIB,0.96657858707325628,0.6138975243225555
BC,Cloverdale--Langley City,59007,0.39077177423887444,0.20061875742416163,0.3484358844566182,0.05907706887736871,0,0.0010965150029770047,CON,LIB,0.56723679225786972,0.5781809244381634
BC,Saanich--Gulf Islands,59027,0.22867649423374267,0.09211615565767485,0.14261503313102078,0.5365923169775617,0,0,GRN,GRN,0.89096255606324504,0.7439317786617755
BC,Victoria,59041,0.15024494903580038,0.39082930843702346,0.3253104962216425,0.13361524630553379,0,0,NDP,NDP,0.60336828570832846,0.6731699164345404
BC,Chilliwack--Hope,59006,0.415249017383083,0.2263433944891571,0.28616630956318745,0.07224127856457249,0,0,CON,LIB,0.69718831688492622,0.5839270970306718
MB,Portage--Lisgar,46007,0.6411746255421512,0.08745915017816117,0.19564111162846848,0.0757251126512191,0,0,CON,LIB,0.96263631329996424,0.5887003103167311
BC,Central Okanagan--Similkameen--Nicola,59005,0.3808306691254704,0.22897849516663998,0.2718762391729995,0.11618080501340754,0,0.0021337915214823065,CON,LIB,0.66851550682119409,0.6137941423854777
ON,Brantford--Brant,35013,0.39116819061786195,0.23567361229998798,0.3338152938320445,0.03754513873947772,0,0.0017977645106278365,CON,LIB,0.59072548446987938,0.5972698096022899
MB,Kildonan--St. Paul,46006,0.47211396021254504,0.24572946857075179,0.24316116176701455,0.03453995059720612,0,0.004455458852482549,CON,NDP,0.81740977219596134,0.6134315859989952
BC,Kelowna--Lake Country,59014,0.4526417147086592,0.21060587925568147,0.3367524060356594,0.0,0,0,CON,LIB,0.67851750010911727,0.5958949704142011
BC,Cariboo--Prince George,59004,0.32796819676888384,0.33202232664037057,0.28848672281803794,0.047840411681944604,0,0.0036823420907630628,NDP,NDP,0.50646917172370598,0.5710644143013749
MB,Elmwood--Transcona,46005,0.33856900711281945,0.3391285934945613,0.28488861327214693,0.037413786120472324,0,0.0,NDP,NDP,0.50089296992319643,0.5591611767008023
NB,Tobique--Mactaquac,13010,0.4220904970074068,0.16532536462842815,0.3621095212394355,0.05022029157813748,0,0.00025432554659205196,CON,LIB,0.59480537499477482,0.6340166347710879
ON,Etobicoke--Lakeshore,35028,0.32584302851226987,0.14835366072611678,0.5002524233379603,0.02555088742365324,0,0.0,LIB,LIB,0.75729806302793445,0.62381769174222
ON,Etobicoke Centre,35027,0.3766479343919,0.07752413257916609,0.5135880306597554,0.02387157168367381,0,0.008368330685504768,LIB,LIB,0.70807177843770719,0.6476192790997254
ON,Essex,35026,0.37330288355071645,0.31998145451872295,0.2742111206413584,0.032504541289202195,0,0.0,CON,NDP,0.58444794294163727,0.5814182344428365
ON,Elgin--Middlesex--London,35025,0.49379401691866776,0.2025718930574797,0.2708945092523412,0.03273958077151127,0,0,CON,LIB,0.81369578694900091,0.6212820024140779
ON,Eglinton--Lawrence,35024,0.3554084394755984,0.12571042262675314,0.4919200275597201,0.0254150735633441,0,0.0015460367745843608,LIB,LIB,0.7074829623256994,0.6581567421996137
ON,Durham,35023,0.4479836014585812,0.19363074477477937,0.30610229073008355,0.052283363036556015,0,0,CON,LIB,0.71482130930759391,0.6130349935152302
ON,Dufferin--Caledon,35022,0.48689483235305353,0.10445354539287405,0.2544906755043417,0.1541609467497308,0,0,CON,LIB,0.82371519235273061,0.5982256176452467
ON,Don Valley West,35021,0.3156557556914011,0.09276761322572928,0.5611431074680584,0.03043352361481111,0,0.0,LIB,LIB,0.8369376132534162,0.6747100942286794
QC,Joliette,24031,0.12354862350470071,0.3444410742733984,0.14979202114945622,0.061181722924092734,0.3210365581483519,0,NDP,NDP,0.53729372037934175,0.6231198968629136
QC,Brossard--Saint-Lambert,24017,0.11907981569399018,0.2346818870286674,0.479134393522258,0.0193620740606067,0.14774182969447774,0,LIB,LIB,0.83591585430575666,0.6279934362340392
ON,Lanark--Frontenac--Kingston,35049,0.43940582422946234,0.15143388575480904,0.35830687924293675,0.045705235948399495,0,0.00514817482439234,CON,LIB,0.62718079286442108,0.6660030790465573
ON,Lambton--Kent--Middlesex,35048,0.4875942575842771,0.19447771643535608,0.2824894370748634,0.03543858890550334,0,0,CON,LIB,0.79401143649368344,0.642295140030865
ON,Kitchener Centre,35045,0.2848730312657531,0.2096959957027037,0.4650889641532225,0.039898052899583696,0,0.0004439559787370941,LIB,LIB,0.76450332037107449,0.6248354716479426
ON,Kingston and the Islands,35044,0.23159824841468743,0.20481677840503695,0.5300888841858604,0.03349608899441517,0,0.0,LIB,LIB,0.883753689771821,0.6295477029445439
ON,Kitchener South--Hespeler,35047,0.42017771452222763,0.17807990538953322,0.3616424031422477,0.03978629745686801,0,0.0003136794891235384,CON,LIB,0.59256233678113812,0.5889725427302832
ON,Kitchener--Conestoga,35046,0.38651171717802385,0.15377090411095792,0.4187123367569304,0.04008388920927122,0,0.0009211527448166112,LIB,LIB,0.55124302777239653,0.6306706963779577
ON,Kanata--Carleton,35041,0.39248898324592607,0.07883372078751705,0.49878568553406405,0.029891610432492905,0,0.0,LIB,LIB,0.66464975034381024,0.7067161895222992
ON,Huron--Bruce,35040,0.4496182806507346,0.19868186957947162,0.3181068239413715,0.02810019027988503,0,0.005492835548537196,CON,LIB,0.70057181659461598,0.6765487006798399
ON,King--Vaughan,35043,0.39567718101946564,0.08564669392824872,0.4980749742516675,0.020601150800618112,0,0,LIB,LIB,0.65894706339106657,0.5620575333342985
ON,Kenora,35042,0.3797143890929072,0.2381105412056495,0.34590115580840824,0.035495691777148945,0,0.0007782221158860462,CON,LIB,0.55379405152245265,0.5848796269863926
AB,Calgary Signal Hill,48012,0.42932083883159067,0.09071642137143565,0.4270300920754606,0.05293264772151315,0,0,CON,LIB,0.50365545178662219,0.5961688871213627
AB,Calgary Skyview,48013,0.3383586778256858,0.07015044413663248,0.5692293867801812,0.022261491257500647,0,0,LIB,LIB,0.82212217945217958,0.47960147168951256
MB,Churchill--Keewatinook Aski,46003,0.19917343250879743,0.32198533587305367,0.452692289797221,0.02614894182092778,0,0,LIB,LIB,0.69945295954278175,0.43192096149928705
BC,Burnaby North--Seymour,59002,0.3552188201797022,0.279035968353012,0.26187762615913196,0.09978323850119919,0,0.00408434680695468,CON,NDP,0.6197146364915328,0.6114406779661017
AB,Calgary Rocky Ridge,48010,0.5100099406378341,0.10195638549657131,0.3456837182394809,0.042349955626113725,0,0,CON,LIB,0.74450755343526287,0.6064215004612356
QC,Drummond,24025,0.19684197124980957,0.3652228156794412,0.19725620872261523,0.03202069802584868,0.20865830632228544,0,NDP,NDP,0.73442714736397119,0.6136128364389234
QC,Dorval--Lachine--LaSalle,24024,0.1308785691024167,0.21949848158809152,0.525816915700527,0.03854386409251498,0.08299637801031663,0.0022657915061332617,LIB,LIB,0.88976394979348017,0.5663232293066547
QC,Gatineau,24027,0.09551268258193636,0.42717914694597453,0.32106487943030965,0.016380137978594143,0.13986315306318528,0,NDP,NDP,0.66438374625833985,0.6269081405856923
QC,Gaspésie--Les Îles-de-la-Madeleine,24026,0.17880301532256188,0.19523333614984084,0.3316773241338439,0.03185246008312398,0.26243386431062954,0,LIB,LIB,0.60909990309101025,0.5281710142761044
QC,Châteauguay--Lacolle,24021,0.13891651716760195,0.35251078630033855,0.2078423721999922,0.02558036317283511,0.27514996115923224,0,NDP,NDP,0.62150783176999924,0.6360859268808766
QC,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,24020,0.2646685487221879,0.2733848621242422,0.13240188867603292,0.0260414890839831,0.3035032113935539,0,BQ,BQ,0.54794592390249164,0.6293326573631828
QC,Compton--Stanstead,24023,0.13720251895352215,0.31908318477808517,0.2672593470377371,0.03556429238247994,0.24089065684817568,0,NDP,NDP,0.58211039765384076,0.6343048670141588
QC,Chicoutimi--Le Fjord,24022,0.3092975764979176,0.2604147141650014,0.1329215386104176,0.022321261214142973,0.2675018626194654,0.007543046893055211,CON,BQ,0.56638691305957911,0.6404232238122836
YT,Yukon,60001,0.27138453350682706,0.20298253234727015,0.479500474971433,0.0461324591744699,0,0.0,LIB,LIB,0.79742638882858463,0.6596688714514605
MB,Dauphin--Swan River--Neepawa,46004,0.5308675725615764,0.21205852833680627,0.1968423238129504,0.06023157528866697,0,0,CON,NDP,0.89888716994130025,0.5529341855908522
QC,Honoré-Mercier,24029,0.11152061145849015,0.19037523933311223,0.5504404864567758,0.01822012990776592,0.1294435328438559,0,LIB,LIB,0.92510321295190867,0.5823631377419021
NS,Sydney--Victoria,12010,0.1861127796310223,0.11894643575394835,0.6492301133663884,0.045710671248641054,0,0,LIB,LIB,0.96802077148757948,0.6102043841301734
AB,Edmonton Mill Woods,48017,0.37990748972347765,0.1452747865511963,0.4133113279030117,0.060574807441534186,0,0.0009315883807800843,LIB,LIB,0.55314662832966888,0.5258770303344953
ON,Hamilton West--Ancaster--Dundas,35038,0.26312044318357125,0.14881646591065398,0.5339050566273541,0.0527131516164307,0,0.0014448826619899641,LIB,LIB,0.86062651353661712,0.6572614517962149
ON,Hastings--Lennox and Addington,35039,0.4429324140696572,0.17209383313641088,0.33823996407254375,0.040853671046645064,0,0.005880117674742948,CON,LIB,0.6623078110160785,0.6167458908424489
MB,Saint Boniface--Saint Vital,46009,0.30799657478987136,0.18380494882987272,0.47208966554633314,0.03610881083392281,0,0.0,LIB,LIB,0.74420771595437685,0.6581612714127532
MB,Provencher,46008,0.5969179584420267,0.15581674003874524,0.20530884524867798,0.04195645627055018,0,0,CON,LIB,0.94137676268109871,0.6164805748300518
AB,Edmonton Centre,48014,0.3629645444914921,0.2729092716456616,0.3232608701139673,0.03594002806359655,0,0.004925285685282301,CON,LIB,0.5630925655793303,0.5757596002244729
ON,Flamborough--Glanbrook,35030,0.4706820835177547,0.13491543790536567,0.32288485258801936,0.070124472503655,0,0.0013931534852053256,CON,LIB,0.72280307832718771,0.6513670613562971
ON,Glengarry--Prescott--Russell,35031,0.34503514777201116,0.11254279703161131,0.5109746048163271,0.03144745038005044,0,0,LIB,LIB,0.74657733954267347,0.6751183522901937
ON,Guelph,35032,0.2586289240164516,0.17318707989018256,0.5058584108583905,0.061372972432402084,0,0.0009526128025732897,LIB,LIB,0.83864835562769469,0.6463379911516054
ON,Haldimand--Norfolk,35033,0.38303113581040216,0.1443153052775995,0.4410959480668258,0.031557610845172404,0,0,LIB,LIB,0.59183166920294294,0.624578373015873
